x-axis,1,2,3
second,Volt,Volt,Volt
-6.4800E-03,,,
-6.4700E-03,,,
-6.4600E-03,+1.6348587E+00,+1.6493985E+00,+1.6988765E+00
-6.4500E-03,+1.6416579E+00,+1.6483525E+00,+1.7255502E+00
-6.4400E-03,+1.6374738E+00,+1.6358002E+00,+1.6988765E+00
-6.4300E-03,+1.6364278E+00,+1.6687500E+00,+1.7004456E+00
-6.4200E-03,+1.6348587E+00,+1.6493985E+00,+1.6988765E+00
-6.4100E-03,+1.6583943E+00,+1.6483525E+00,+1.7088138E+00
-6.4000E-03,+1.6489801E+00,+1.6410303E+00,+1.7156129E+00
-6.3900E-03,+1.6364278E+00,+1.6399843E+00,+1.7004456E+00
-6.3800E-03,+1.6406119E+00,+1.6441684E+00,+1.7098598E+00
-6.3700E-03,+1.6484571E+00,+1.6483525E+00,+1.7056757E+00
-6.3600E-03,+1.6207374E+00,+1.6525366E+00,+1.6873703E+00
-6.3500E-03,+1.6500261E+00,+1.6384152E+00,+1.7004456E+00
-6.3400E-03,+1.6400889E+00,+1.6603818E+00,+1.6988765E+00
-6.3300E-03,+1.6348587E+00,+1.6384152E+00,+1.6988765E+00
-6.3200E-03,+1.6515951E+00,+1.6525366E+00,+1.7271192E+00
-6.3100E-03,+1.6364278E+00,+1.6399843E+00,+1.7156129E+00
-6.3000E-03,+1.6458420E+00,+1.6551516E+00,+1.7156129E+00
-6.2900E-03,+1.6249215E+00,+1.6551516E+00,+1.7187510E+00
-6.2800E-03,+1.6348587E+00,+1.6525366E+00,+1.7271192E+00
-6.2700E-03,+1.6500261E+00,+1.6551516E+00,+1.7323493E+00
-6.2600E-03,+1.6515951E+00,+1.6493985E+00,+1.6988765E+00
-6.2500E-03,+1.6416579E+00,+1.6551516E+00,+1.7156129E+00
-6.2400E-03,+1.6489801E+00,+1.6410303E+00,+1.7014916E+00
-6.2300E-03,+1.6364278E+00,+1.6399843E+00,+1.7004456E+00
-6.2200E-03,+1.6296286E+00,+1.6436454E+00,+1.7098598E+00
-6.2100E-03,+1.6416579E+00,+1.6520136E+00,+1.7056757E+00
-6.2000E-03,+1.6489801E+00,+1.6410303E+00,+1.7182280E+00
-6.1900E-03,+1.6515951E+00,+1.6384152E+00,+1.7292113E+00
-6.1800E-03,+1.6353818E+00,+1.6493985E+00,+1.7265962E+00
-6.1700E-03,+1.6447960E+00,+1.6452144E+00,+1.7187510E+00
-6.1600E-03,+1.6348587E+00,+1.6525366E+00,+1.7129979E+00
-6.1500E-03,+1.6364278E+00,+1.6551516E+00,+1.7140439E+00
-6.1400E-03,+1.6296286E+00,+1.6441684E+00,+1.7046297E+00
-6.1300E-03,+1.6280596E+00,+1.6551516E+00,+1.7156129E+00
-6.1200E-03,+1.6322437E+00,+1.6692730E+00,+1.6988765E+00
-6.1100E-03,+1.6348587E+00,+1.6687500E+00,+1.7020146E+00
-6.1000E-03,+1.6348587E+00,+1.6493985E+00,+1.7156129E+00
-6.0900E-03,+1.6416579E+00,+1.6452144E+00,+1.7056757E+00
-6.0800E-03,+1.6374738E+00,+1.6525366E+00,+1.7014916E+00
-6.0700E-03,+1.6348587E+00,+1.6415533E+00,+1.6973075E+00
-6.0600E-03,+1.6458420E+00,+1.6441684E+00,+1.7208431E+00
-6.0500E-03,+1.6447960E+00,+1.6384152E+00,+1.7088138E+00
-6.0400E-03,+1.6489801E+00,+1.6525366E+00,+1.6873703E+00
-6.0300E-03,+1.6364278E+00,+1.6551516E+00,+1.7140439E+00
-6.0200E-03,+1.6458420E+00,+1.6384152E+00,+1.7156129E+00
-6.0100E-03,+1.6515951E+00,+1.6483525E+00,+1.6988765E+00
-6.0000E-03,+1.6348587E+00,+1.6410303E+00,+1.7129979E+00
-5.9900E-03,+1.6212604E+00,+1.6551516E+00,+1.7004456E+00
-5.9800E-03,+1.6515951E+00,+1.6551516E+00,+1.7046297E+00
-5.9700E-03,+1.6379968E+00,+1.6384152E+00,+1.7088138E+00
-5.9600E-03,+1.6207374E+00,+1.6551516E+00,+1.7129979E+00
-5.9500E-03,+1.6515951E+00,+1.6399843E+00,+1.7156129E+00
-5.9400E-03,+1.6458420E+00,+1.6493985E+00,+1.6988765E+00
-5.9300E-03,+1.6547332E+00,+1.6452144E+00,+1.7088138E+00
-5.9200E-03,+1.6657165E+00,+1.6551516E+00,+1.6988765E+00
-5.9100E-03,+1.6348587E+00,+1.6399843E+00,+1.7140439E+00
-5.9000E-03,+1.6515951E+00,+1.6609048E+00,+1.7156129E+00
-5.8900E-03,+1.6348587E+00,+1.6384152E+00,+1.6988765E+00
-5.8800E-03,+1.6515951E+00,+1.6525366E+00,+1.6988765E+00
-5.8700E-03,+1.6348587E+00,+1.6551516E+00,+1.7004456E+00
-5.8600E-03,+1.6400889E+00,+1.6441684E+00,+1.7046297E+00
-5.8500E-03,+1.6515951E+00,+1.6551516E+00,+1.7056757E+00
-5.8400E-03,+1.6515951E+00,+1.6551516E+00,+1.7129979E+00
-5.8300E-03,+1.6500261E+00,+1.6551516E+00,+1.7156129E+00
-5.8200E-03,+1.6573483E+00,+1.6603818E+00,+1.7046297E+00
-5.8100E-03,+1.6416579E+00,+1.6452144E+00,+1.6988765E+00
-5.8000E-03,+1.6515951E+00,+1.6384152E+00,+1.6988765E+00
-5.7900E-03,+1.6348587E+00,+1.6551516E+00,+1.7156129E+00
-5.7800E-03,+1.6348587E+00,+1.6441684E+00,+1.7098598E+00
-5.7700E-03,+1.6515951E+00,+1.6483525E+00,+1.7056757E+00
-5.7600E-03,+1.6348587E+00,+1.6384152E+00,+1.7156129E+00
-5.7500E-03,+1.6515951E+00,+1.6399843E+00,+1.6988765E+00
-5.7400E-03,+1.6348587E+00,+1.6551516E+00,+1.7046297E+00
-5.7300E-03,+1.6515951E+00,+1.6415533E+00,+1.7187510E+00
-5.7200E-03,+1.6489801E+00,+1.6242939E+00,+1.7156129E+00
-5.7100E-03,+1.6651935E+00,+1.6384152E+00,+1.6988765E+00
-5.7000E-03,+1.6348587E+00,+1.6384152E+00,+1.7150899E+00
-5.6900E-03,+1.6447960E+00,+1.6452144E+00,+1.7187510E+00
-5.6800E-03,+1.6489801E+00,+1.6525366E+00,+1.7156129E+00
-5.6700E-03,+1.6196914E+00,+1.6551516E+00,+1.7140439E+00
-5.6600E-03,+1.6406119E+00,+1.6441684E+00,+1.7156129E+00
-5.6500E-03,+1.6249215E+00,+1.6452144E+00,+1.6988765E+00
-5.6400E-03,+1.6489801E+00,+1.6384152E+00,+1.7041067E+00
-5.6300E-03,+1.6364278E+00,+1.6551516E+00,+1.7323493E+00
-5.6200E-03,+1.6400889E+00,+1.6441684E+00,+1.7098598E+00
-5.6100E-03,+1.6484571E+00,+1.6384152E+00,+1.7088138E+00
-5.6000E-03,+1.6374738E+00,+1.6358002E+00,+1.7014916E+00
-5.5900E-03,+1.6500261E+00,+1.6384152E+00,+1.7140439E+00
-5.5800E-03,+1.6515951E+00,+1.6441684E+00,+1.6988765E+00
-5.5700E-03,+1.6348587E+00,+1.6452144E+00,+1.7156129E+00
-5.5600E-03,+1.6489801E+00,+1.6525366E+00,+1.7129979E+00
-5.5500E-03,+1.6348587E+00,+1.6551516E+00,+1.7140439E+00
-5.5400E-03,+1.6406119E+00,+1.6551516E+00,+1.7265962E+00
-5.5300E-03,+1.6547332E+00,+1.6520136E+00,+1.7156129E+00
